source_id,OGLE-ID,RA,Dec,Type,subType,SNR,I,V_I,Period,[Fe/H]_J95,[Fe/H]_ZW,ra_x,ra_error,dec_x,dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_mag,bp_rp,radial_velocity,radial_velocity_error,rv_nb_transits,teff_val,a_g_val,e_bp_min_rp_val,radius_val,lum_val,angDist,r_est,r_lo,r_hi,abs_Imag,abs_Gmag,V
4041426443074448640,OGLE-BLG-RRLYR-03140,267.18582,-35.34072,RRLYR,RRab,27.958817,15.094,1.1809998,0.5418962,,,267.18583027788,1.6226,-35.34072639934,1.5221,,,,,,,7621.19,117.947,15.983308,,,,,,,,,,0,,,,,,0.03797,,,,,,-13.913000062670898
4658081255976094592,OGLE-LMC-RRLYR-13223,80.644455,-69.45453,RRLYR,RRab,5.322561,18.7,-0.2520008,0.4940561,-1.533,-1.686,80.64448484374,0.6523,-69.45453238791,1.1593,,,,,,,547.612,16.3443,18.842184,,,,1130.44,48.0362,17.128803,,,,0,,,,,,0.038673,,,,,,-18.952001562939454
4050269956841843456,OGLE-BLG-RRLYR-11434,270.55795,-29.680445,RRLYR,RRab,14.973763,16.139,1.1289997,0.47788516,,,270.55794265336,18.4109,-29.68045366852,17.095,,,,,,,2974.68,69.1737,17.004765,,,,,,,,,,0,,,,,,0.038754,,,,,,-15.010000238964844
4043384711945870464,OGLE-BLG-RRLYR-08401,269.25253,-32.237167,RRLYR,RRc,10.174185,16.606,1.4709988,0.26904985,,,269.25253289171,0.9286,-32.23717771364,0.7693,,,,,,,1778.79,25.0152,17.563051,,,,,,,,,,0,,,,,,0.039561,,,,,,-15.135002100268554
4055646633068047488,OGLE-BLG-RRLYR-05011,267.958,-31.754917,RRLYR,RRab,8.478579,17.469,2.7409992,0.49913573,,,267.95798694635,2.4714,-31.75491974254,2.1439,,,,,,,545.095,12.7739,18.847185,,,,,,,,,,0,,,,,,0.04116,,,,,,-14.728000662670897
4068862354769838464,OGLE-BLG-RRLYR-03184,267.20947,-23.253166,RRLYR,RRab,10.520919,16.846,1.9769993,0.80719554,,,267.20946596777,2.2988,-23.25317714434,2.0283,,,,,,,1108.05,27.1052,18.076963,,,,,,,,,,0,,,,,,0.042278,,,,,,-14.86900137138672
4062476833835620224,OGLE-BLG-LPV-173104,270.16342,-28.70764,LPV,Mira,140.04167,13.709,5.738001,377.7,,,270.16340657446,2.5683,-28.7076407241,0.353,,,,,,,7286.89,56.2738,16.032011,1367.56,214.578,17.511524,19476.4,181.495,14.038149,3.473375,,,0,3933.03,,,,,0.042471,,,,,,-7.970998633789063
4043544656435257472,OGLE-BLG-RRLYR-07243,268.76233,-32.373222,RRLYR,RRc,9.06164,16.616,1.5670013,0.28892934,,,268.76233117706,0.8812,-32.37323385729,0.7904,,,,,,,1663.46,28.0832,17.635836,,,,,,,,,,0,,,,,,0.042836,,,,,,-15.048997921801758
4062431586198689792,OGLE-BLG-RRLYR-12697,271.2338,-28.787222,RRLYR,RRc,10.971867,15.436,1.0630007,0.37628728,,,271.23381328837,0.7267,-28.78722501319,0.6486,,,,,,,6796.58,93.8551,16.10764,4398.52,150.695,16.24312,9786.68,383.261,14.785332,1.457789,,,0,5143.45,,,,,0.043307,,,,,,-14.372999170300293
4043917249358692992,OGLE-BLG-ECL-265821,270.6299,-31.30625,ECL,NC,11.914981,15.954,1.3400002,1.9231012,,,270.62991343634,0.7712,-31.30625401668,0.7275,,,,,,,3451.78,41.2874,16.843258,1722.7,7.55366,17.260866,4845.68,82.2702,15.548533,1.712334,,,0,4777.0,,,,,0.043785,,,,,,-14.61400027302246
